date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:19:39	116983/116983	---MCZ	200	added ('OK')	text/html	etag:W/%2283094e5a0ae784b072535bb579098fce%22	https://luxride-nextjs.vercel.app/home-2	https://luxride-nextjs.vercel.app/home-2/am3/luxride-nextjs.vercel.app/home-2.html	(from )
21:19:40	5679/5679	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2234bb6008a1826bec113a063464d13aa5%22	https://luxride-nextjs.vercel.app/robots.txt		(from )
21:19:41	36772/36772	---M--	200	added ('OK')	font/woff2	etag:%22bca21fe1983e7d9137ef6e68e05f3aee%22	https://luxride-nextjs.vercel.app/_next/static/media/7e6a2e30184bb114-s.p.woff2	https://luxride-nextjs.vercel.app/home-2/am3/luxride-nextjs.vercel.app/_next/static/media/7e6a2e30184bb114-s.p.woff2	(from https://luxride-nextjs.vercel.app/home-2)
21:19:42	420189/420189	---MCZ	200	added ('OK')	text/css	etag:W/%221cd4b7c3305a881476735b826e500236%22	https://luxride-nextjs.vercel.app/_next/static/css/2b8c3c571487e69b.css	https://luxride-nextjs.vercel.app/home-2/am3/luxride-nextjs.vercel.app/_next/static/css/2b8c3c571487e69b.css	(from https://luxride-nextjs.vercel.app/home-2)
21:19:43	3842/3842	---MCZ	200	added ('OK')	application/javascript	etag:W/%2298f1ecc701806775a6716cf5ec498236%22	https://luxride-nextjs.vercel.app/_next/static/chunks/webpack-ba93407d922c1365.js	https://luxride-nextjs.vercel.app/home-2/am3/luxride-nextjs.vercel.app/_next/static/chunks/webpack-ba93407d922c1365.js	(from https://luxride-nextjs.vercel.app/home-2)
21:19:44	172193/172193	---MCZ	200	added ('OK')	application/javascript	etag:W/%2285c584cf2c381d0021a7c695f9cd0464%22	https://luxride-nextjs.vercel.app/_next/static/chunks/fd9d1056-4d79c9c50da9862a.js	https://luxride-nextjs.vercel.app/home-2/am3/luxride-nextjs.vercel.app/_next/static/chunks/fd9d1056-4d79c9c50da9862a.js	(from https://luxride-nextjs.vercel.app/home-2)
21:19:45	112914/112914	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a521fb857af0fc2f389e4331246ef5d4%22	https://luxride-nextjs.vercel.app/_next/static/chunks/8069-50301a9d7a725bf3.js	https://luxride-nextjs.vercel.app/home-2/am3/luxride-nextjs.vercel.app/_next/static/chunks/8069-50301a9d7a725bf3.js	(from https://luxride-nextjs.vercel.app/home-2)
21:19:45	474/474	---M--	200	added ('OK')	application/javascript	etag:%223003506ce829c75f7ade510846764f93%22	https://luxride-nextjs.vercel.app/_next/static/chunks/main-app-5c0f9b95fd3d20ef.js	https://luxride-nextjs.vercel.app/home-2/am3/luxride-nextjs.vercel.app/_next/static/chunks/main-app-5c0f9b95fd3d20ef.js	(from https://luxride-nextjs.vercel.app/home-2)
21:19:47	20796/20796	---MCZ	200	added ('OK')	application/javascript	etag:W/%229ea6f7214baab744913d15b74a48875c%22	https://luxride-nextjs.vercel.app/_next/static/chunks/901-c067f3a80bf97293.js	https://luxride-nextjs.vercel.app/home-2/am3/luxride-nextjs.vercel.app/_next/static/chunks/901-c067f3a80bf97293.js	(from https://luxride-nextjs.vercel.app/home-2)
21:19:48	12929/12929	---MCZ	200	added ('OK')	application/javascript	etag:W/%2202319c2ed4bb51016eec5778566692a1%22	https://luxride-nextjs.vercel.app/_next/static/chunks/1749-5a74e00765e06e44.js	https://luxride-nextjs.vercel.app/home-2/am3/luxride-nextjs.vercel.app/_next/static/chunks/1749-5a74e00765e06e44.js	(from https://luxride-nextjs.vercel.app/home-2)
21:19:49	154050/154050	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e4eed2147c707306d4d7a9ae45c9c461%22	https://luxride-nextjs.vercel.app/_next/static/chunks/2574-4d79200fb20bb324.js	https://luxride-nextjs.vercel.app/home-2/am3/luxride-nextjs.vercel.app/_next/static/chunks/2574-4d79200fb20bb324.js	(from https://luxride-nextjs.vercel.app/home-2)
21:19:50	56874/56874	---MCZ	200	added ('OK')	application/javascript	etag:W/%222eac1a04cd7021f19b6efce44bfeda97%22	https://luxride-nextjs.vercel.app/_next/static/chunks/8518-9b331c6487c8ad9e.js	https://luxride-nextjs.vercel.app/home-2/am3/luxride-nextjs.vercel.app/_next/static/chunks/8518-9b331c6487c8ad9e.js	(from https://luxride-nextjs.vercel.app/home-2)
21:19:51	83069/83069	---MCZ	200	added ('OK')	application/javascript	etag:W/%22bd090dbdf19300be7f1585efda1b84c7%22	https://luxride-nextjs.vercel.app/_next/static/chunks/333-bdac3c8483dca50a.js	https://luxride-nextjs.vercel.app/home-2/am3/luxride-nextjs.vercel.app/_next/static/chunks/333-bdac3c8483dca50a.js	(from https://luxride-nextjs.vercel.app/home-2)
21:19:52	24163/24163	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c2b238e4ccbc8bf36142b814b2bcb239%22	https://luxride-nextjs.vercel.app/_next/static/chunks/app/(homes)/home-2/page-47d3eaed6d9ef07f.js	https://luxride-nextjs.vercel.app/home-2/am3/luxride-nextjs.vercel.app/_next/static/chunks/app/(homes)/home-2/page-47d3eaed6d9ef07f.js	(from https://luxride-nextjs.vercel.app/home-2)
21:19:53	36584/36584	---MCZ	200	added ('OK')	application/javascript	etag:W/%22692b881a74c11eec8537ac165aac69a9%22	https://luxride-nextjs.vercel.app/_next/static/chunks/7729-8df9bea8b4db4e98.js	https://luxride-nextjs.vercel.app/home-2/am3/luxride-nextjs.vercel.app/_next/static/chunks/7729-8df9bea8b4db4e98.js	(from https://luxride-nextjs.vercel.app/home-2)
21:19:53	743/743	---M--	200	added ('OK')	application/javascript	etag:%22d8ef6416615c82b0358796b307e5f5ae%22	https://luxride-nextjs.vercel.app/_next/static/chunks/app/layout-1a40232fd54c11f8.js	https://luxride-nextjs.vercel.app/home-2/am3/luxride-nextjs.vercel.app/_next/static/chunks/app/layout-1a40232fd54c11f8.js	(from https://luxride-nextjs.vercel.app/home-2)
21:19:55	64336/64336	---MCZ	200	added ('OK')	application/javascript	etag:W/%221e4a3580a0bcdc2d4d974f863f550784%22	https://luxride-nextjs.vercel.app/_next/static/chunks/138-a85b19663d376679.js	https://luxride-nextjs.vercel.app/home-2/am3/luxride-nextjs.vercel.app/_next/static/chunks/138-a85b19663d376679.js	(from https://luxride-nextjs.vercel.app/home-2)
21:19:56	8615/8615	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ffc0d203c778d71348b677de4a5de7ac%22	https://luxride-nextjs.vercel.app/_next/static/chunks/723-8be64737e8eda15f.js	https://luxride-nextjs.vercel.app/home-2/am3/luxride-nextjs.vercel.app/_next/static/chunks/723-8be64737e8eda15f.js	(from https://luxride-nextjs.vercel.app/home-2)
21:19:57	33387/33387	---MCZ	200	added ('OK')	application/javascript	etag:W/%224cdf20442a5555697a2b4c9945dd55a2%22	https://luxride-nextjs.vercel.app/_next/static/chunks/2604-10045deca89b5f02.js	https://luxride-nextjs.vercel.app/home-2/am3/luxride-nextjs.vercel.app/_next/static/chunks/2604-10045deca89b5f02.js	(from https://luxride-nextjs.vercel.app/home-2)
21:19:57	184/184	---M--	200	added ('OK')	application/javascript	etag:%22b6ef52f27634b910df7b14a6e3c3f328%22	https://luxride-nextjs.vercel.app/_next/static/chunks/app/page-378484d060461fb4.js	https://luxride-nextjs.vercel.app/home-2/am3/luxride-nextjs.vercel.app/_next/static/chunks/app/page-378484d060461fb4.js	(from https://luxride-nextjs.vercel.app/home-2)
21:19:59	708/708	---M--	200	added ('OK')	image/x-icon	etag:%228466a93aa7a83d16b419022db5f12d06%22	https://luxride-nextjs.vercel.app/favicon.ico	https://luxride-nextjs.vercel.app/home-2/am3/luxride-nextjs.vercel.app/favicon.ico	(from https://luxride-nextjs.vercel.app/home-2)
21:20:01	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:W/%22837c0df77fd5009c9e46d446188ecfd0%22	https://luxride-nextjs.vercel.app/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	https://luxride-nextjs.vercel.app/home-2/am3/luxride-nextjs.vercel.app/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://luxride-nextjs.vercel.app/home-2)
21:20:02	2241/2241	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22f19bc56a29b0985646c333c6c362e39d%22	https://luxride-nextjs.vercel.app/assets/imgs/template/logo-black.svg	https://luxride-nextjs.vercel.app/home-2/am3/luxride-nextjs.vercel.app/assets/imgs/template/logo-black.svg	(from https://luxride-nextjs.vercel.app/home-2)
21:20:02	113496/113496	---MCZ	200	added ('OK')	text/html	etag:W/%228701aa3611e79855b61c6e4720ced4a6%22	https://luxride-nextjs.vercel.app/	https://luxride-nextjs.vercel.app/home-2/am3/luxride-nextjs.vercel.app/index.html	(from https://luxride-nextjs.vercel.app/home-2)
21:20:03	106084/106084	---MCZ	200	added ('OK')	text/html	etag:W/%2273823294881699575542390b62f59c5d%22	https://luxride-nextjs.vercel.app/home-3	https://luxride-nextjs.vercel.app/home-2/am3/luxride-nextjs.vercel.app/home-3.html	(from https://luxride-nextjs.vercel.app/home-2)
21:20:04	96564/96564	---MCZ	200	added ('OK')	text/html	etag:W/%225bb08aaf55152d7908ed5906f6fd09eb%22	https://luxride-nextjs.vercel.app/home-4	https://luxride-nextjs.vercel.app/home-2/am3/luxride-nextjs.vercel.app/home-4.html	(from https://luxride-nextjs.vercel.app/home-2)
21:20:05	94965/94965	---MCZ	200	added ('OK')	text/html	etag:W/%2202037fa209c033783b9533f238bbaf0a%22	https://luxride-nextjs.vercel.app/home-5	https://luxride-nextjs.vercel.app/home-2/am3/luxride-nextjs.vercel.app/home-5.html	(from https://luxride-nextjs.vercel.app/home-2)
21:20:06	107757/107757	---MCZ	200	added ('OK')	text/html	etag:W/%22f0edb69e2900c99f05e0a33f2c3b1bd9%22	https://luxride-nextjs.vercel.app/home-6	https://luxride-nextjs.vercel.app/home-2/am3/luxride-nextjs.vercel.app/home-6.html	(from https://luxride-nextjs.vercel.app/home-2)
21:20:07	89673/89673	---MCZ	200	added ('OK')	text/html	etag:W/%22c4d4e67c2028f36d2ef4db173befd245%22	https://luxride-nextjs.vercel.app/home-7	https://luxride-nextjs.vercel.app/home-2/am3/luxride-nextjs.vercel.app/home-7.html	(from https://luxride-nextjs.vercel.app/home-2)
21:20:08	130260/130260	---MCZ	200	added ('OK')	text/html	etag:W/%22b8ac49fa313aa7d26944081ab8b95b91%22	https://luxride-nextjs.vercel.app/home-8	https://luxride-nextjs.vercel.app/home-2/am3/luxride-nextjs.vercel.app/home-8.html	(from https://luxride-nextjs.vercel.app/home-2)
21:20:09	100114/100114	---MCZ	200	added ('OK')	text/html	etag:W/%224bf03ccebda4cacada9997e3630fb95c%22	https://luxride-nextjs.vercel.app/home-9	https://luxride-nextjs.vercel.app/home-2/am3/luxride-nextjs.vercel.app/home-9.html	(from https://luxride-nextjs.vercel.app/home-2)
21:20:10	113662/113662	---MCZ	200	added ('OK')	text/html	etag:W/%2201a4abc0b587ace23da75672ea5f1523%22	https://luxride-nextjs.vercel.app/home-10	https://luxride-nextjs.vercel.app/home-2/am3/luxride-nextjs.vercel.app/home-10.html	(from https://luxride-nextjs.vercel.app/home-2)
21:20:11	75344/75344	---MCZ	200	added ('OK')	text/html	etag:W/%2266f0dc34a88d49c81e2cb07596dc213d%22	https://luxride-nextjs.vercel.app/about	https://luxride-nextjs.vercel.app/home-2/am3/luxride-nextjs.vercel.app/about.html	(from https://luxride-nextjs.vercel.app/home-2)
21:20:12	66087/66087	---MCZ	200	added ('OK')	text/html	etag:W/%22421fa497e6c009f80c502c5bdbf5cca4%22	https://luxride-nextjs.vercel.app/about-2	https://luxride-nextjs.vercel.app/home-2/am3/luxride-nextjs.vercel.app/about-2.html	(from https://luxride-nextjs.vercel.app/home-2)
21:20:13	48274/48274	---MCZ	200	added ('OK')	text/html	etag:W/%2230380d389f83e3c068eb7f65311828ff%22	https://luxride-nextjs.vercel.app/contact	https://luxride-nextjs.vercel.app/home-2/am3/luxride-nextjs.vercel.app/contact.html	(from https://luxride-nextjs.vercel.app/home-2)
21:20:14	49298/49298	---MCZ	200	added ('OK')	text/html	etag:W/%225de5af52d80e72be6edb74bb7c3b8733%22	https://luxride-nextjs.vercel.app/contact-2	https://luxride-nextjs.vercel.app/home-2/am3/luxride-nextjs.vercel.app/contact-2.html	(from https://luxride-nextjs.vercel.app/home-2)
21:20:15	61856/61856	---MCZ	200	added ('OK')	text/html	etag:W/%22070c8d36f77fe922556156344f576316%22	https://luxride-nextjs.vercel.app/our-team	https://luxride-nextjs.vercel.app/home-2/am3/luxride-nextjs.vercel.app/our-team.html	(from https://luxride-nextjs.vercel.app/home-2)
